排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio,score_pct,score_up,hot_score
73,航空机场,BK0420,4183.58,34.05,0.82,584914784000,0.63,11,2,春秋航空,2.55,13,0.846,0.8548387096774194,0.9233870967741935,0.8891129032258065
61,医药商业,BK1042,1032.25,10.25,1.0,295223632000,1.6,24,8,国药一致,3.39,32,0.75,0.8780241935483871,0.8991935483870968,0.888608870967742
13,集成电路制造,BK1329,4817.84,116.43,2.48,2486153632000,4.3,5,3,盛合晶微,9.86,8,0.625,0.9758064516129032,0.7953629032258065,0.8855846774193549
70,航空运输,BK1479,1388.4,12.21,0.89,456828048000,0.64,7,2,春秋航空,2.53,9,0.778,0.8618951612903226,0.9082661290322581,0.8850806451612904
57,医药流通,BK1607,1915.53,19.97,1.05,219947511000,1.67,17,7,国药一致,3.39,24,0.708,0.8870967741935484,0.875,0.8810483870967742
112,镍,BK1622,5613.2,23.9,0.43,88920052000,2.97,1,0,华友钴业,0.43,1,1.0,0.7772177419354839,0.9798387096774194,0.8785282258064516
56,饮料乳品,BK1282,2044.21,21.47,1.06,418348320000,1.32,16,7,皇氏集团,10.1,23,0.696,0.8891129032258065,0.8669354838709677,0.8780241935483871
55,化学制药,BK0465,36096.33,384.53,1.08,2490340704000,3.62,110,49,罗欣药业,9.98,159,0.692,0.8911290322580645,0.8629032258064516,0.877016129032258
79,商用载货车,BK1530,1890.1,14.21,0.76,184773092000,1.41,7,2,一汽解放,2.58,9,0.778,0.842741935483871,0.9082661290322581,0.8755040322580645
65,航运港口,BK0450,11283.09,105.06,0.94,1130744240000,0.72,25,10,凤凰航运,4.84,35,0.714,0.8709677419354839,0.8770161290322581,0.873991935483871
76,煤化工,BK1419,1639.8,12.84,0.79,228478969000,1.48,6,2,宝丰能源,2.92,8,0.75,0.8487903225806451,0.8991935483870968,0.873991935483871
66,其他酒类,BK1578,1447.63,13.45,0.94,56466976000,1.23,7,3,*ST尼雅,8.49,10,0.7,0.8709677419354839,0.8709677419354839,0.8709677419354839
47,钾肥,BK1434,2336.5,31.18,1.35,337187392000,1.73,2,1,东方铁塔,3.67,3,0.667,0.90625,0.8346774193548387,0.8704637096774194
59,租赁,BK1365,2820.39,28.87,1.03,73349108000,1.18,2,1,渤海租赁,3.63,3,0.667,0.8830645161290323,0.8346774193548387,0.8588709677419355
107,疫苗,BK1598,3884.46,17.4,0.45,204896084000,1.87,12,2,辽宁成大,1.45,14,0.857,0.7852822580645161,0.9294354838709677,0.857358870967742
36,油气开采Ⅲ,BK1574,3137.35,44.19,1.43,1404895248000,2.37,3,2,ST洲际,8.02,5,0.6,0.9274193548387096,0.7792338709677419,0.8533266129032258
37,油气开采Ⅱ,BK1276,3137.35,44.19,1.43,1404895248000,2.37,3,2,ST洲际,8.02,5,0.6,0.9274193548387096,0.7792338709677419,0.8533266129032258
95,铁路公路,BK0421,8047.18,46.38,0.58,766502688000,0.41,25,9,四川成渝,6.14,34,0.735,0.8094758064516129,0.8860887096774194,0.8477822580645161
71,食品加工,BK1280,4056.26,35.36,0.88,224506214000,1.83,18,9,ST西王,5.47,27,0.667,0.8588709677419355,0.8346774193548387,0.8467741935483871
85,交通运输,BK1210,2340.09,15.79,0.68,3117993056000,0.66,86,42,四川成渝,6.14,128,0.672,0.8316532258064516,0.8588709677419355,0.8452620967741935
74,管材,BK1466,1883.28,14.98,0.8,34686991000,1.64,4,2,青龙管业,6.25,6,0.667,0.8518145161290323,0.8346774193548387,0.8432459677419355
52,医疗服务,BK0727,1264.77,15.0,1.2,1021680880000,2.9,31,19,诚达药业,12.86,50,0.62,0.8951612903225806,0.7903225806451613,0.842741935483871
63,航运,BK1482,1491.2,14.15,0.96,647975872000,1.35,12,7,凤凰航运,4.84,19,0.632,0.875,0.8024193548387096,0.8387096774193548
111,水产饲料,BK1509,5974.5,25.5,0.43,91411284000,1.82,3,1,海大集团,4.3,4,0.75,0.7772177419354839,0.8991935483870968,0.8382056451612903
80,辅料,BK1348,2780.51,19.83,0.72,22612340000,2.22,2,1,兴业科技,2.48,3,0.667,0.8407258064516129,0.8346774193548387,0.8377016129032258
98,白酒Ⅲ,BK1575,4006.64,21.66,0.54,2298124864000,0.97,14,6,迎驾贡酒,3.93,20,0.7,0.8034274193548387,0.8709677419354839,0.8371975806451613
99,白酒Ⅱ,BK1277,4006.64,21.66,0.54,2298124864000,0.97,14,6,迎驾贡酒,3.93,20,0.7,0.8034274193548387,0.8709677419354839,0.8371975806451613
110,中药Ⅱ,BK1040,1277.5,5.57,0.44,749357776000,1.54,48,17,众生药业,5.21,65,0.738,0.78125,0.8901209677419355,0.8356854838709677
109,中药Ⅲ,BK1608,1277.5,5.57,0.44,749357776000,1.54,48,17,众生药业,5.21,65,0.738,0.78125,0.8901209677419355,0.8356854838709677
42,磷肥及磷化工,BK1435,3337.29,46.43,1.41,209198663000,2.29,5,4,六国化工,10.03,9,0.556,0.9173387096774194,0.7459677419354839,0.8316532258064516
78,食品饮料,BK0438,24806.68,188.37,0.77,3644584688000,1.31,82,43,皇氏集团,10.1,125,0.656,0.8457661290322581,0.8104838709677419,0.828125
123,洗护用品,BK1496,524.25,1.55,0.3,17710569000,1.0,3,1,两面针,1.07,4,0.75,0.7540322580645161,0.8991935483870968,0.8266129032258065
69,休闲食品,BK1281,2047.67,18.01,0.89,158937720000,1.27,14,9,万辰集团,5.54,23,0.609,0.8618951612903226,0.7862903225806451,0.8240927419354839
83,医药生物,BK1216,4484.19,30.58,0.69,6731335680000,2.53,317,178,甘李药业,10.0,495,0.64,0.8356854838709677,0.8084677419354839,0.8220766129032258
54,炼化及贸易,BK1274,3328.47,39.37,1.2,2846055616000,0.39,16,13,东方盛虹,10.04,29,0.552,0.8951612903225806,0.7419354838709677,0.8185483870967742
26,有机硅,BK1431,3905.22,72.62,1.89,130813192000,5.42,5,5,新亚强,10.01,10,0.5,0.9485887096774194,0.6814516129032258,0.8150201612903225
88,预加工食品,BK1581,5964.96,38.94,0.66,62274508000,1.36,7,4,三全食品,3.2,11,0.636,0.8245967741935484,0.8054435483870968,0.8150201612903225
89,能源金属,BK1015,1012.49,6.51,0.65,519241952000,4.91,7,4,永杉锂业,4.6,11,0.636,0.8225806451612904,0.8054435483870968,0.8140120967741935
104,人力资源服务,BK1568,1736.54,8.19,0.47,20263267000,0.51,2,1,北京人力,1.27,3,0.667,0.7913306451612904,0.8346774193548387,0.8130040322580645
105,酒店,BK1560,2109.55,9.84,0.47,42412559000,1.11,4,2,首旅酒店,3.12,6,0.667,0.7913306451612904,0.8346774193548387,0.8130040322580645
81,农化制品,BK0731,1598.23,11.16,0.7,921193024000,1.98,35,24,六国化工,10.03,59,0.593,0.8387096774193549,0.7721774193548387,0.8054435483870968
113,调味发酵品Ⅲ,BK1576,4608.03,19.18,0.42,339189536000,1.41,10,5,安琪酵母,3.69,15,0.667,0.7731854838709677,0.8346774193548387,0.8039314516129032
114,调味发酵品Ⅱ,BK1278,4608.03,19.18,0.42,339189536000,1.41,10,5,安琪酵母,3.69,15,0.667,0.7731854838709677,0.8346774193548387,0.8039314516129032
40,航海装备Ⅲ,BK1383,5079.79,71.32,1.42,541431008000,2.51,5,5,松发股份,10.0,10,0.5,0.9203629032258065,0.6814516129032258,0.8009072580645161
41,航海装备Ⅱ,BK1230,5079.79,71.32,1.42,541431008000,2.51,5,5,松发股份,10.0,10,0.5,0.9203629032258065,0.6814516129032258,0.8009072580645161
120,白银,BK1616,4335.26,15.49,0.36,103932846000,8.18,2,1,湖南白银,1.3,3,0.667,0.7600806451612904,0.8346774193548387,0.7973790322580645
103,农林牧渔,BK0433,13178.34,62.98,0.48,1171408784000,2.21,68,40,巨星农牧,9.99,108,0.63,0.7943548387096774,0.8004032258064516,0.7973790322580645
46,综合电力设备商,BK1323,1289.66,17.7,1.39,210804281000,0.94,1,1,东方电气,3.36,2,0.5,0.9112903225806451,0.6814516129032258,0.7963709677419355
91,原料药,BK1595,3738.46,23.0,0.62,342341808000,3.27,27,19,欧康医药,13.12,46,0.587,0.8185483870967742,0.7701612903225806,0.7943548387096775
124,粮油加工,BK1504,1275.99,3.69,0.29,156217421000,1.07,6,3,金龙鱼,1.77,9,0.667,0.7520161290322581,0.8346774193548387,0.7933467741935485
127,种子,BK1518,3347.41,9.08,0.27,46759484000,1.63,6,3,康农种业,2.02,9,0.667,0.7469758064516129,0.8346774193548387,0.7908266129032258
126,证券Ⅱ,BK0473,144114.1,393.49,0.27,3802607568000,1.22,32,16,光大证券,3.28,48,0.667,0.7469758064516129,0.8346774193548387,0.7908266129032258
125,证券Ⅲ,BK1366,144114.1,393.49,0.27,3802607568000,1.22,32,16,光大证券,3.28,48,0.667,0.7469758064516129,0.8346774193548387,0.7908266129032258
100,人工景区,BK1562,2576.7,13.36,0.52,31588914000,1.02,3,2,大连圣亚,3.02,5,0.6,0.7993951612903226,0.7792338709677419,0.7893145161290323
101,人工景区,BK1562,2576.7,13.36,0.52,31588914000,1.02,3,2,大连圣亚,3.02,5,0.6,0.7993951612903226,0.7792338709677419,0.7893145161290323
93,端到端供应链服务,BK1491,1640.04,9.81,0.6,26865299000,3.54,4,3,东方嘉盛,3.81,7,0.571,0.8145161290322581,0.7560483870967742,0.7852822580645162
156,白色家电,BK1239,3281.54,0.81,0.02,1095506048000,1.06,8,3,长虹美菱,3.23,11,0.727,0.686491935483871,0.8790322580645161,0.7827620967741935
92,培训教育,BK1557,4266.97,26.14,0.62,49438496000,2.31,6,5,中公教育,10.0,11,0.545,0.8185483870967742,0.7379032258064516,0.778225806451613
141,信托,BK1363,1848.3,2.87,0.16,66403948000,0.61,2,1,陕国投Ａ,1.05,3,0.667,0.719758064516129,0.8346774193548387,0.7772177419354839
106,自然景区,BK1563,2860.88,13.1,0.46,58435338000,1.7,7,5,西藏旅游,5.4,12,0.583,0.7883064516129032,0.7651209677419355,0.7767137096774194
64,个护小家电,BK1458,755.92,7.06,0.94,18734404000,1.19,2,2,倍益康,6.93,4,0.5,0.8709677419354839,0.6814516129032258,0.7762096774193548
158,板材,BK1367,778.47,-0.1,-0.01,450786208000,0.68,9,4,南钢股份,1.91,13,0.692,0.6834677419354839,0.8629032258064516,0.7731854838709677
97,食品及饲料添加剂,BK1429,2046.9,11.45,0.56,244493033000,1.13,12,10,爱普股份,10.04,22,0.545,0.8064516129032258,0.7379032258064516,0.7721774193548387
108,商用车,BK1264,2503.58,11.19,0.45,269249968000,1.42,8,6,一汽解放,2.75,14,0.571,0.7852822580645161,0.7560483870967742,0.7706653225806452
122,酒店餐饮,BK1271,2020.37,6.71,0.33,53278126000,1.05,6,4,首旅酒店,3.12,10,0.6,0.7560483870967742,0.7792338709677419,0.767641129032258
75,粮食种植,BK1515,843.75,6.66,0.8,31201919000,0.97,1,1,北大荒,1.85,2,0.5,0.8518145161290323,0.6814516129032258,0.766633064516129
102,物流,BK0422,6855.84,33.87,0.5,635727632000,1.16,25,21,申通快递,5.03,46,0.543,0.7963709677419355,0.7338709677419355,0.7651209677419355
119,水务及水治理,BK1390,1983.91,7.62,0.39,282174896000,1.31,28,20,中持股份,10.04,48,0.583,0.7651209677419355,0.7651209677419355,0.7651209677419355
153,房屋建设Ⅱ,BK1246,1719.37,1.22,0.07,255995350000,0.53,4,2,陕建股份,1.44,6,0.667,0.6945564516129032,0.8346774193548387,0.764616935483871
152,房屋建设Ⅲ,BK1470,1719.37,1.22,0.07,255995350000,0.53,4,2,陕建股份,1.44,6,0.667,0.6945564516129032,0.8346774193548387,0.764616935483871
77,氮肥,BK1432,1685.19,12.9,0.77,88347731000,1.78,2,2,华鲁恒升,4.9,4,0.5,0.8457661290322581,0.6814516129032258,0.763608870967742
137,软饮料,BK1586,1778.95,3.25,0.18,182851235000,0.94,5,3,东鹏饮料,1.59,8,0.625,0.7258064516129032,0.7953629032258065,0.7605846774193549
116,出版,BK1218,1736.87,6.83,0.39,229265583000,0.8,16,12,南方传媒,4.94,28,0.571,0.7651209677419355,0.7560483870967742,0.7605846774193549
82,彩电,BK1453,4566.24,31.31,0.69,117743971000,2.44,2,2,兆驰股份,6.02,4,0.5,0.8356854838709677,0.6814516129032258,0.7585685483870968
84,石油石化,BK0464,6133.13,41.46,0.68,4460342016000,0.52,23,23,贝肯能源,9.98,46,0.5,0.8316532258064516,0.6814516129032258,0.7565524193548387
140,非银金融,BK1203,2442.88,3.8,0.16,7130396416000,0.99,48,30,渤海租赁,3.4,78,0.615,0.719758064516129,0.7883064516129032,0.7540322580645161
136,产业地产,BK1344,2234.71,4.28,0.19,128846887000,0.78,7,5,上海临港,3.1,12,0.583,0.7278225806451613,0.7651209677419355,0.7464717741935484
129,农药,BK1436,2746.63,6.25,0.23,212687671000,1.84,19,15,利民股份,3.82,34,0.559,0.7399193548387096,0.75,0.7449596774193548
138,保健品,BK1579,3511.65,6.12,0.17,51741062000,2.54,5,4,ST西王,5.47,9,0.556,0.7237903225806451,0.7459677419354839,0.7348790322580645
132,跨境物流,BK1488,1535.39,3.44,0.22,163251585000,0.75,7,6,嘉友国际,4.05,13,0.538,0.7358870967741935,0.7318548387096774,0.7338709677419355
86,摩托车及其他,BK1263,3409.12,22.85,0.67,220350188000,1.15,8,9,涛涛车业,10.6,17,0.471,0.8276209677419355,0.6391129032258065,0.733366935483871
90,特种纸,BK1545,2529.49,15.7,0.62,73350859000,2.68,6,7,宜宾纸业,9.99,13,0.462,0.8185483870967742,0.6330645161290323,0.7258064516129032
226,冶钢辅料,BK1372,6107.69,-32.75,-0.53,86699231000,1.81,3,1,鄂尔多斯,1.63,4,0.75,0.5483870967741935,0.8991935483870968,0.7237903225806451
117,磨具磨料,BK1397,10591.57,40.74,0.39,182487026000,9.53,7,7,黄河旋风,10.02,14,0.5,0.7651209677419355,0.6814516129032258,0.7232862903225806
118,教育运营及其他,BK1556,738.44,2.84,0.39,8762007000,2.49,1,1,ST豆神,1.82,2,0.5,0.7651209677419355,0.6814516129032258,0.7232862903225806
167,硅料硅片,BK1319,2119.43,-1.79,-0.08,97579324000,4.21,3,2,双良节能,2.78,5,0.6,0.6673387096774194,0.7792338709677419,0.7232862903225806
94,模拟芯片设计,BK1330,7989.33,47.04,0.59,736537232000,3.91,16,19,盛景微,10.0,35,0.457,0.8125,0.6310483870967742,0.7217741935483871
150,商业地产,BK1345,1157.86,1.01,0.09,177132290000,0.7,6,5,中国国贸,2.99,11,0.545,0.6985887096774194,0.7379032258064516,0.7182459677419355
199,其他家电Ⅲ,BK1456,1105.89,-3.8,-0.34,9737547000,1.3,2,1,荣泰健康,1.11,3,0.667,0.6008064516129032,0.8346774193548387,0.717741935483871
200,其他家电Ⅱ,BK1243,1105.89,-3.8,-0.34,9737547000,1.3,2,1,荣泰健康,1.11,3,0.667,0.6008064516129032,0.8346774193548387,0.717741935483871
254,铁路运输,BK1485,1390.86,-11.12,-0.79,373741088000,0.37,6,1,大秦铁路,1.49,7,0.857,0.49193548387096775,0.9294354838709677,0.7106854838709677
130,游戏Ⅲ,BK1301,1288.41,2.92,0.23,421179488000,2.4,11,11,名臣健康,7.18,22,0.5,0.7399193548387096,0.6814516129032258,0.7106854838709677
131,游戏Ⅱ,BK1046,1288.41,2.92,0.23,421179488000,2.4,11,11,名臣健康,7.18,22,0.5,0.7399193548387096,0.6814516129032258,0.7106854838709677
134,农业综合Ⅱ,BK1257,2091.8,4.23,0.2,9627061000,0.81,1,1,辉隆股份,0.86,2,0.5,0.7318548387096774,0.6814516129032258,0.7066532258064515
133,农业综合Ⅲ,BK1506,2091.8,4.23,0.2,9627061000,0.81,1,1,辉隆股份,0.86,2,0.5,0.7318548387096774,0.6814516129032258,0.7066532258064515
115,教育,BK0740,520.97,2.15,0.41,67009906000,2.23,7,8,中公教育,10.0,15,0.467,0.7701612903225806,0.6360887096774194,0.703125
144,制冷空调设备,BK1400,4624.42,6.27,0.14,216420377000,3.16,10,10,申菱环境,5.89,20,0.5,0.7137096774193549,0.6814516129032258,0.6975806451612903
219,冰洗,BK1449,1944.78,-9.4,-0.48,230915129000,1.35,6,3,长虹美菱,3.23,9,0.667,0.5604838709677419,0.8346774193548387,0.6975806451612903
168,氯碱,BK1418,2131.82,-2.03,-0.1,151456898000,2.12,8,7,航锦科技,5.01,15,0.533,0.6622983870967742,0.7298387096774194,0.6960685483870968
146,餐饮,BK1559,1320.61,1.71,0.13,10865566000,0.95,2,2,全 聚 德,1.26,4,0.5,0.7086693548387096,0.6814516129032258,0.6950604838709677
145,锂,BK1621,19023.09,25.27,0.13,397574944000,5.59,4,4,永杉锂业,4.65,8,0.5,0.7086693548387096,0.6814516129032258,0.6950604838709677
184,半导体设备,BK1326,62736.75,-149.67,-0.24,2482871536000,4.18,12,9,京仪装备,5.8,21,0.571,0.6320564516129032,0.7560483870967742,0.6940524193548387
151,纯碱,BK1417,940.58,0.8,0.09,46269893000,2.07,2,2,博源化工,0.83,4,0.5,0.6985887096774194,0.6814516129032258,0.6900201612903225
