排名,sector_name,板块代码,最新价,涨跌额,pct_chg,总市值,换手率,up_count,down_count,lead_stock,领涨股票-涨跌幅,total_count,up_ratio
76,煤化工,BK1419,1639.8,12.84,0.79,228478969000,1.48,6,2,宝丰能源,2.92,8,0.75
77,氮肥,BK1432,1685.19,12.9,0.77,88347731000,1.78,2,2,华鲁恒升,4.9,4,0.5
78,食品饮料,BK0438,24806.68,188.37,0.77,3644584688000,1.31,82,43,皇氏集团,10.1,125,0.656
79,商用载货车,BK1530,1890.1,14.21,0.76,184773092000,1.41,7,2,一汽解放,2.58,9,0.778
80,辅料,BK1348,2780.51,19.83,0.72,22612340000,2.22,2,1,兴业科技,2.48,3,0.667
81,农化制品,BK0731,1598.23,11.16,0.7,921193024000,1.98,35,24,六国化工,10.03,59,0.593
82,彩电,BK1453,4566.24,31.31,0.69,117743971000,2.44,2,2,兆驰股份,6.02,4,0.5
83,医药生物,BK1216,4484.19,30.58,0.69,6731335680000,2.53,317,178,甘李药业,10.0,495,0.64
84,石油石化,BK0464,6133.13,41.46,0.68,4460342016000,0.52,23,23,贝肯能源,9.98,46,0.5
85,交通运输,BK1210,2340.09,15.79,0.68,3117993056000,0.66,86,42,四川成渝,6.14,128,0.672
86,摩托车及其他,BK1263,3409.12,22.85,0.67,220350188000,1.15,8,9,涛涛车业,10.6,17,0.471
87,视频媒体,BK1296,718.64,4.75,0.67,28304005000,1.36,1,0,芒果超媒,0.67,1,1.0
88,预加工食品,BK1581,5964.96,38.94,0.66,62274508000,1.36,7,4,三全食品,3.2,11,0.636
89,能源金属,BK1015,1012.49,6.51,0.65,519241952000,4.91,7,4,永杉锂业,4.6,11,0.636
90,特种纸,BK1545,2529.49,15.7,0.62,73350859000,2.68,6,7,宜宾纸业,9.99,13,0.462
91,原料药,BK1595,3738.46,23.0,0.62,342341808000,3.27,27,19,欧康医药,13.12,46,0.587
92,培训教育,BK1557,4266.97,26.14,0.62,49438496000,2.31,6,5,中公教育,10.0,11,0.545
93,端到端供应链服务,BK1491,1640.04,9.81,0.6,26865299000,3.54,4,3,东方嘉盛,3.81,7,0.571
94,模拟芯片设计,BK1330,7989.33,47.04,0.59,736537232000,3.91,16,19,盛景微,10.0,35,0.457
95,铁路公路,BK0421,8047.18,46.38,0.58,766502688000,0.41,25,9,四川成渝,6.14,34,0.735
96,厨房小家电,BK1457,2121.42,12.14,0.58,75385608000,0.73,3,7,爱仕达,9.99,10,0.3
97,食品及饲料添加剂,BK1429,2046.9,11.45,0.56,244493033000,1.13,12,10,爱普股份,10.04,22,0.545
98,白酒Ⅲ,BK1575,4006.64,21.66,0.54,2298124864000,0.97,14,6,迎驾贡酒,3.93,20,0.7
99,白酒Ⅱ,BK1277,4006.64,21.66,0.54,2298124864000,0.97,14,6,迎驾贡酒,3.93,20,0.7
100,人工景区,BK1562,2576.7,13.36,0.52,31588914000,1.02,3,2,大连圣亚,3.02,5,0.6
101,人工景区,BK1562,2576.7,13.36,0.52,31588914000,1.02,3,2,大连圣亚,3.02,5,0.6
102,物流,BK0422,6855.84,33.87,0.5,635727632000,1.16,25,21,申通快递,5.03,46,0.543
103,农林牧渔,BK0433,13178.34,62.98,0.48,1171408784000,2.21,68,40,巨星农牧,9.99,108,0.63
104,人力资源服务,BK1568,1736.54,8.19,0.47,20263267000,0.51,2,1,北京人力,1.27,3,0.667
105,酒店,BK1560,2109.55,9.84,0.47,42412559000,1.11,4,2,首旅酒店,3.12,6,0.667
106,自然景区,BK1563,2860.88,13.1,0.46,58435338000,1.7,7,5,西藏旅游,5.4,12,0.583
107,疫苗,BK1598,3884.46,17.4,0.45,204896084000,1.87,12,2,辽宁成大,1.45,14,0.857
108,商用车,BK1264,2503.58,11.19,0.45,269249968000,1.42,8,6,一汽解放,2.75,14,0.571
109,中药Ⅲ,BK1608,1277.5,5.57,0.44,749357776000,1.54,48,17,众生药业,5.21,65,0.738
110,中药Ⅱ,BK1040,1277.5,5.57,0.44,749357776000,1.54,48,17,众生药业,5.21,65,0.738
111,水产饲料,BK1509,5974.5,25.5,0.43,91411284000,1.82,3,1,海大集团,4.3,4,0.75
112,镍,BK1622,5613.2,23.9,0.43,88920052000,2.97,1,0,华友钴业,0.43,1,1.0
113,调味发酵品Ⅲ,BK1576,4608.03,19.18,0.42,339189536000,1.41,10,5,安琪酵母,3.69,15,0.667
114,调味发酵品Ⅱ,BK1278,4608.03,19.18,0.42,339189536000,1.41,10,5,安琪酵母,3.69,15,0.667
115,教育,BK0740,520.97,2.15,0.41,67009906000,2.23,7,8,中公教育,10.0,15,0.467
116,出版,BK1218,1736.87,6.83,0.39,229265583000,0.8,16,12,南方传媒,4.94,28,0.571
117,磨具磨料,BK1397,10591.57,40.74,0.39,182487026000,9.53,7,7,黄河旋风,10.02,14,0.5
118,教育运营及其他,BK1556,738.44,2.84,0.39,8762007000,2.49,1,1,ST豆神,1.82,2,0.5
119,水务及水治理,BK1390,1983.91,7.62,0.39,282174896000,1.31,28,20,中持股份,10.04,48,0.583
120,白银,BK1616,4335.26,15.49,0.36,103932846000,8.18,2,1,湖南白银,1.3,3,0.667
121,文化用品,BK1542,2656.7,9.02,0.34,37717797000,1.67,2,3,齐心集团,3.58,5,0.4
122,酒店餐饮,BK1271,2020.37,6.71,0.33,53278126000,1.05,6,4,首旅酒店,3.12,10,0.6
123,洗护用品,BK1496,524.25,1.55,0.3,17710569000,1.0,3,1,两面针,1.07,4,0.75
124,粮油加工,BK1504,1275.99,3.69,0.29,156217421000,1.07,6,3,金龙鱼,1.77,9,0.667
125,证券Ⅲ,BK1366,144114.1,393.49,0.27,3802607568000,1.22,32,16,光大证券,3.28,48,0.667
126,证券Ⅱ,BK0473,144114.1,393.49,0.27,3802607568000,1.22,32,16,光大证券,3.28,48,0.667
127,种子,BK1518,3347.41,9.08,0.27,46759484000,1.63,6,3,康农种业,2.02,9,0.667
128,熟食,BK1584,2089.19,5.55,0.27,22182838000,0.87,1,2,煌上煌,2.18,3,0.333
129,农药,BK1436,2746.63,6.25,0.23,212687671000,1.84,19,15,利民股份,3.82,34,0.559
130,游戏Ⅲ,BK1301,1288.41,2.92,0.23,421179488000,2.4,11,11,名臣健康,7.18,22,0.5
131,游戏Ⅱ,BK1046,1288.41,2.92,0.23,421179488000,2.4,11,11,名臣健康,7.18,22,0.5
132,跨境物流,BK1488,1535.39,3.44,0.22,163251585000,0.75,7,6,嘉友国际,4.05,13,0.538
133,农业综合Ⅲ,BK1506,2091.8,4.23,0.2,9627061000,0.81,1,1,辉隆股份,0.86,2,0.5
134,农业综合Ⅱ,BK1257,2091.8,4.23,0.2,9627061000,0.81,1,1,辉隆股份,0.86,2,0.5
135,造纸,BK1267,2491.8,4.88,0.2,160476103000,2.08,10,15,宜宾纸业,9.99,25,0.4
136,产业地产,BK1344,2234.71,4.28,0.19,128846887000,0.78,7,5,上海临港,3.1,12,0.583
137,软饮料,BK1586,1778.95,3.25,0.18,182851235000,0.94,5,3,东鹏饮料,1.59,8,0.625
138,保健品,BK1579,3511.65,6.12,0.17,51741062000,2.54,5,4,ST西王,5.47,9,0.556
139,分立器件,BK1327,20141.92,32.72,0.16,764552384000,5.4,6,12,银河微电,13.39,18,0.333
140,非银金融,BK1203,2442.88,3.8,0.16,7130396416000,0.99,48,30,渤海租赁,3.4,78,0.615
141,信托,BK1363,1848.3,2.87,0.16,66403948000,0.61,2,1,陕国投Ａ,1.05,3,0.667
142,房地产开发,BK0451,13065.21,18.04,0.14,849983792000,1.59,34,47,金科股份,10.0,81,0.42
143,住宅开发,BK1346,1787.58,2.43,0.14,544004624000,1.89,21,37,金科股份,10.0,58,0.362
